,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PIM1,39.45097639,0.681466946,0.38023851,1.792209173,0.073099466,0.99937919
ARHGAP27,8.674034906,-1.246967025,0.696146044,-1.791243426,0.07325424,0.99937919
SLC30A7,14.2231092,1.011434121,0.565069098,1.789929982,0.073465168,0.99937919
MKLN1,12.54063522,1.127073829,0.629965099,1.78910519,0.073597876,0.99937919
ASAP1,46.87396909,0.700615338,0.391747207,1.788437351,0.073705475,0.99937919
ACADVL,86.52430779,-0.528795543,0.2957441,-1.788017219,0.07377323,0.99937919
MFNG,17.21670703,-0.917769359,0.513317374,-1.787917974,0.073789243,0.99937919
NMRK1,9.724110634,-1.176595954,0.658917703,-1.785649328,0.074156055,0.99937919
PADI4,0.890568917,-3.95474053,2.21771334,-1.78325145,0.074545381,0.99937919
TBX21,0.890568917,-3.95474053,2.21771334,-1.78325145,0.074545381,0.99937919
MS4A6A,249.4373014,-0.415830248,0.2332483,-1.782779331,0.074622232,0.99937919
MOB3B,26.60526804,0.784093214,0.440426112,1.780305921,0.075025909,0.99937919
NAA38,88.00614881,-0.588033783,0.330731105,-1.777981491,0.075406895,0.99937919
CPM,97.82871903,0.584307992,0.32866927,1.777799279,0.075436827,0.99937919
EIF3D,60.07946918,-0.536196112,0.301922213,-1.775941248,0.075742601,0.99937919
CCRL2,12.26182242,1.162526678,0.654948048,1.774990676,0.075899427,0.99937919
TNFRSF10A,3.079256385,2.369368341,1.340382043,1.767681351,0.077114189,0.99937919
ATP5F1B,156.0325297,-0.478335043,0.270892874,-1.765771966,0.077434114,0.99937919
RAB18,30.56458535,0.732879667,0.415268941,1.764831403,0.077592105,0.99937919
PGLS,141.7939847,-0.430830074,0.244225764,-1.764064805,0.077721069,0.99937919
HSPA1B,8.919928811,-1.176566596,0.667134853,-1.763611345,0.077797436,0.99937919
SLC24A4,5.618944031,-1.482044054,0.84099705,-1.762246435,0.07802767,0.99937919
ERGIC2,36.08434159,0.696320619,0.395175988,1.762051948,0.078060521,0.99937919
ETV5,7.870231141,-1.24352396,0.705896621,-1.761623334,0.078132959,0.99937919
OSTF1,108.3698005,-0.477232569,0.27125913,-1.759323525,0.078522573,0.99937919
CES1,38.24786098,-0.885107814,0.503136002,-1.759182032,0.078546595,0.99937919
GIGYF1,6.78637518,1.448392523,0.8234749,1.758878774,0.078598101,0.99937919
BTBD7,15.20940075,0.977027822,0.555584855,1.758557334,0.078652725,0.99937919
PLEKHF1,2.04363694,-2.637933762,1.500457753,-1.758085995,0.078732878,0.99937919
GGNBP2,36.92602152,0.644418814,0.366562273,1.758006379,0.078746424,0.99937919
HIST1H1D,14.39435642,-0.960814805,0.546787655,-1.757199154,0.078883869,0.99937919
ERG28,8.352438387,1.388942943,0.791665975,1.754455776,0.079352441,0.99937919
SAAL1,6.404127141,-1.349867045,0.769642196,-1.753889084,0.079449514,0.99937919
DDHD1,21.56991321,0.819501415,0.467592819,1.752596239,0.079671337,0.99937919
SLC39A9,4.500991473,2.008648336,1.146258805,1.752351499,0.079713386,0.99937919
DHX38,10.23588708,1.264704255,0.722170119,1.751255308,0.079901942,0.99937919
RAB1A,59.02868319,0.577001582,0.329550418,1.750874979,0.079967448,0.99937919
CCT7,48.64709452,-0.592825876,0.338657472,-1.750517631,0.080029034,0.99937919
TAMM41,4.71315604,-1.601180906,0.914760039,-1.75038353,0.080052156,0.99937919
FAIM,16.62885223,1.099218456,0.628327077,1.749436713,0.080215559,0.99937919
ABCG2,6.236843302,1.749051844,1.00160256,1.746253368,0.080766935,0.99937919
ISOC2,50.93115932,0.655846832,0.375763724,1.745370271,0.080920437,0.99937919
SLC35F6,22.64466661,0.785501699,0.450073631,1.745273761,0.080937227,0.99937919
GRHPR,43.26876339,-0.588966047,0.337809005,-1.743488296,0.081248357,0.99937919
NELFCD,13.90837139,-0.953220019,0.546799935,-1.743270177,0.081286432,0.99937919
MIA-RAB4B,2.423326364,-2.327642922,1.336174912,-1.742019626,0.08150501,0.99937919
ZFYVE28,3.849386648,2.152465501,1.236391121,1.740926042,0.081696543,0.99937919
SMIM30,38.85840842,0.706473457,0.405804728,1.740919731,0.08169765,0.99937919
UFD1,56.9992462,-0.53254036,0.305918997,-1.74078879,0.081720608,0.99937919
GABARAP,194.9669381,-0.739356868,0.424757253,-1.740657428,0.081743645,0.99937919
MAZ,38.35068797,-0.659911115,0.379546258,-1.738684287,0.082090311,0.99937919
TEX264,56.59347745,-0.56890513,0.327340998,-1.737958685,0.082218094,0.99937919
OSBPL11,62.9983961,-0.545841538,0.314205923,-1.737209575,0.082350186,0.99937919
SMIM14,41.86899899,0.61590686,0.354578017,1.73701366,0.08238476,0.99937919
CLIC2,12.22412424,-0.996506211,0.573754951,-1.736815012,0.082419828,0.99937919
DHRSX,17.93872109,-0.824633736,0.475126566,-1.735608562,0.082633071,0.99937919
ITGAX,49.27785528,0.669960199,0.386223163,1.734645313,0.082803648,0.99937919
ZNF564,2.01610881,-2.601244746,1.501709726,-1.732188786,0.083239955,0.99937919
TCOF1,9.831346183,1.186320855,0.685041964,1.731749172,0.083318231,0.99937919
FOS,502.0244759,0.608013909,0.35123818,1.731058703,0.083441295,0.99937919
ADCY3,6.979893234,1.427046911,0.826543029,1.726524647,0.084253069,0.99937919
AHR,22.13376497,0.803561917,0.465744665,1.725327153,0.084468531,0.99937919
AC005280.2,8.489524096,1.796755012,1.042412698,1.72365035,0.084770983,0.99937919
GLMN,2.034296194,2.72292615,1.580173892,1.723181331,0.084855739,0.99937919
TALDO1,249.8611149,-0.4750198,0.275667958,-1.723159276,0.084859726,0.99937919
TCF7L2,42.6633527,0.722538099,0.419377448,1.722882581,0.084909761,0.99937919
PLBD1,158.2954866,-0.551763924,0.320997972,-1.718901589,0.085632293,0.99937919
HEBP1,44.24067779,-0.634271388,0.369487155,-1.716626356,0.086047464,0.99937919
SFMBT2,5.909817406,1.687423633,0.983154283,1.716336553,0.086100462,0.99937919
FMC1,19.26918598,-0.797500123,0.464857267,-1.715580629,0.086238827,0.99937919
PTBP3,51.43860223,0.56562586,0.329760211,1.715264125,0.086296813,0.99937919
MRPL39,12.75240831,-1.104330303,0.643864732,-1.715158865,0.086316104,0.99937919
ZC3HC1,5.617802915,-1.419741915,0.827919034,-1.714831834,0.086376063,0.99937919
CDH23,3.371565436,-1.864386791,1.089988131,-1.710465223,0.087179879,0.99937919
CD276,18.5919063,0.930834773,0.54448539,1.709567953,0.087345796,0.99937919
ICE2,12.61400496,1.046948082,0.612841481,1.708350551,0.087571317,0.99937919
PEX6,4.42956039,-1.609913856,0.942473294,-1.708179814,0.087602983,0.99937919
C12orf75,2.887165927,-2.225639133,1.303356638,-1.707620975,0.087706694,0.99937919
GLIPR2,322.6678233,-0.411166919,0.240868584,-1.707017633,0.087818775,0.99937919
ZYG11B,10.54873136,1.278775456,0.749153518,1.706960491,0.087829396,0.99937919
SPICE1,4.496435684,-1.658116414,0.971462002,-1.706825805,0.087854435,0.99937919
DMAP1,10.41616639,-1.041886745,0.610649909,-1.706193237,0.087972108,0.99937919
PRR14L,23.49679498,-0.718166704,0.421078696,-1.705540345,0.088093695,0.99937919
RSPO3,1.349906207,3.154590604,1.849730272,1.705432761,0.088113743,0.99937919
TOR1AIP1,17.22764008,0.943893684,0.553589907,1.705041353,0.088186712,0.99937919
EGR2,14.41043119,1.107802228,0.649803654,1.704826099,0.088226863,0.99937919
S100A6,5841.874761,-0.418829772,0.24607963,-1.702009109,0.088753661,0.99937919
NAP1L1,110.9375467,0.460364915,0.27068797,1.700721738,0.088995251,0.99937919
TTLL1,2.537702369,-2.083199086,1.225754342,-1.699524134,0.089220471,0.99937919
ATP2A2,24.71550736,0.775788551,0.457056933,1.697356488,0.089629284,0.99937919
NGRN,6.439856175,-1.321761517,0.779071147,-1.696586406,0.089774882,0.99937919
TMEM209,4.470663813,1.820147695,1.073670567,1.69525714,0.090026652,0.99937919
OSBPL9,14.19000424,-0.997508424,0.588631593,-1.694622639,0.09014703,0.99937919
TRAFD1,6.022376209,1.522437515,0.8985804,1.694269666,0.090214052,0.99937919
LMAN2,108.3205428,-0.42008634,0.248001945,-1.693883247,0.090287471,0.99937919
ZNF207,50.0524856,0.553445703,0.326815151,1.693451789,0.090369504,0.99937919
FCER1A,2.405168447,2.770124304,1.636359653,1.692857863,0.090482526,0.99937919
APOC1,2931.414807,-0.543541432,0.321286133,-1.69176748,0.090690316,0.99937919
OCIAD2,3.51304955,-1.833582729,1.084379934,-1.690904333,0.090855076,0.99937919
PHF21A,5.180012022,1.642333553,0.97160728,1.690326521,0.090965504,0.99937919
