,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CMTM8,2.190624473,-1.854735075,1.396938021,-1.327714649,0.184272392,0.999736701
ALDH2,4.134735583,-1.33466606,1.005371229,-1.327535562,0.184331584,0.999736701
AC090152.1,1.700098592,2.182341223,1.64666395,1.325310622,0.185068147,0.999736701
PAFAH2,0.792503988,-3.156779876,2.383008054,-1.324703822,0.185269405,0.999736701
LDLR,1.174128618,2.658710194,2.008546689,1.323698477,0.185603204,0.999736701
PSMB3,16.60419041,0.689980174,0.521436299,1.32323004,0.185758889,0.999736701
CEP68,1.643758305,-2.168668059,1.63939672,-1.322845186,0.185886867,0.999736701
CBWD5,2.377958254,1.803443907,1.364977322,1.321226278,0.186425927,0.999736701
C12orf43,1.681804367,2.150913756,1.630930374,1.31882623,0.187227213,0.999736701
LEMD3,1.245235423,-2.516144991,1.908118347,-1.31865248,0.18728532,0.999736701
EXOC5,2.447888894,1.76765978,1.340565935,1.318592196,0.187305484,0.999736701
SCLT1,1.205428499,-2.586807041,1.961876467,-1.318537169,0.187323891,0.999736701
LRCH3,1.131274171,2.563793866,1.944600562,1.318416705,0.187364192,0.999736701
CCDC32,1.131274171,2.563793866,1.944600562,1.318416705,0.187364192,0.999736701
RBM3,15.63172093,0.684079118,0.518916934,1.318282509,0.187409094,0.999736701
BNIP3L,3.674225382,1.384411597,1.050779575,1.317509047,0.18766805,0.999736701
SNX6,10.27996152,0.82248807,0.62476521,1.316475464,0.188014508,0.999736701
HLA-E,66.05890415,-0.369479831,0.280789931,-1.315858547,0.188221524,0.999736701
INPP5F,0.777543243,-3.175040903,2.413465601,-1.315552582,0.188324258,0.999736701
PPP1CA,14.52676794,0.703036811,0.534838633,1.314483972,0.188683388,0.999736701
ALG2,1.759141874,-2.213304226,1.683919503,-1.314376502,0.188719534,0.999736701
POGK,1.186841225,-2.587147765,1.968992311,-1.313945083,0.188864686,0.999736701
CORO1A,42.7107031,-0.441021285,0.33566169,-1.313886266,0.188884481,0.999736701
LYAR,3.221895574,-1.468323825,1.121000181,-1.309833709,0.190252097,0.999736701
CTNNBL1,2.662618802,1.691655585,1.292180794,1.309147754,0.190484306,0.999736701
ORAI1,6.196629243,-1.086854091,0.831201956,-1.307569217,0.191019463,0.999736701
RRP15,2.257856266,1.794048686,1.373334965,1.306344578,0.191435404,0.999736701
ELAVL1,2.199612271,-1.870171475,1.431661988,-1.306294007,0.191452595,0.999736701
NKAP,4.210177306,1.249943265,0.959003675,1.303376929,0.192446109,0.999736701
CHD9,2.550951186,1.667679297,1.280078013,1.302795049,0.192644742,0.999736701
PIK3CD,1.584981633,-2.218285373,1.704933247,-1.301098079,0.193224885,0.999736701
CNDP2,1.584981633,-2.218285373,1.704933247,-1.301098079,0.193224885,0.999736701
FANCF,1.146475183,-2.517011023,1.937195432,-1.299306709,0.193838693,0.999736701
LRRC41,1.208521712,2.613198927,2.01255965,1.298445453,0.194134309,0.999736701
DDX52,2.746507624,-1.662304263,1.28055796,-1.298109352,0.194249761,0.999736701
IER2,26.55879399,-0.556749756,0.429026391,-1.297705146,0.194388675,0.999736701
RSRC2,10.37075928,0.806106335,0.621302675,1.297445461,0.194477959,0.999736701
ZFP36,5.820939519,-1.107129908,0.853501469,-1.297162275,0.194575358,0.999736701
AC058791.1,7.141768408,1.233121542,0.95142416,1.296079703,0.194948027,0.999736701
TIMMDC1,2.467730697,1.691982336,1.305830871,1.29571323,0.195074302,0.999736701
PIGBOS1,2.907731304,-1.509075167,1.164685467,-1.29569331,0.195081167,0.999736701
ARID1B,3.540604339,1.53490115,1.184646582,1.295661654,0.195092078,0.999736701
EPHX2,1.205046025,-2.523233226,1.948914659,-1.29468636,0.195428447,0.999736701
NAB1,1.127887909,-2.517224788,1.944710802,-1.294395437,0.195528866,0.999736701
NFE2L3,1.127887909,-2.517224788,1.944710802,-1.294395437,0.195528866,0.999736701
RABL2B,1.127887909,-2.517224788,1.944710802,-1.294395437,0.195528866,0.999736701
PSMB8-AS1,4.819706315,-1.171191256,0.905515646,-1.29339704,0.195873773,0.999736701
DNAJB6,6.580285247,1.008284057,0.779789588,1.293020672,0.196003909,0.999736701
SGK3,2.074914057,1.854704819,1.434918093,1.292551002,0.196166395,0.999736701
ERLEC1,4.029945644,-1.342667402,1.039641295,-1.291471787,0.196540132,0.999736701
TRPC4AP,1.584804989,-2.117501743,1.640127815,-1.29105898,0.196683227,0.999736701
FAM208B,2.029107744,-1.856186105,1.437787065,-1.291002089,0.196702953,0.999736701
NDUFA3,15.66539063,-0.655062272,0.507974301,-1.289557896,0.197204202,0.999736701
CCDC18,0.745391958,2.98996401,2.318693174,1.289503952,0.197222943,0.999736701
TTTY15,0.745391958,2.98996401,2.318693174,1.289503952,0.197222943,0.999736701
TCF20,0.745391958,2.98996401,2.318693174,1.289503952,0.197222943,0.999736701
LY6E,19.02524924,-0.612511714,0.47516726,-1.28904444,0.197382637,0.999736701
C15orf53,1.289949206,2.576188148,2.000792267,1.287584019,0.197890805,0.999736701
PACSIN2,1.144181547,2.520466642,1.958122631,1.287185288,0.198029714,0.999736701
MZT2B,23.38965348,-0.581085933,0.4517265,-1.286366712,0.19831511,0.999736701
CSF1,0.849688128,3.272245999,2.543838242,1.286342011,0.198323727,0.999736701
LTA,3.851194642,1.345320296,1.046809375,1.285162637,0.198735457,0.999736701
ECHDC2,2.245241939,1.80919958,1.4093009,1.283756776,0.199227072,0.999736701
ATP5S,2.146188649,1.771652478,1.380156336,1.283660722,0.199260693,0.999736701
TERF1,2.882326104,1.499489158,1.168166114,1.283626652,0.19927262,0.999736701
GPR137,1.125594272,2.497022662,1.946459218,1.282853829,0.199543291,0.999736701
SULF2,1.112686897,2.540936436,1.981308263,1.282453863,0.19968348,0.999736701
LAMTOR1,7.663134191,-0.913187483,0.712411058,-1.281826655,0.199903462,0.999736701
HSPA5,8.779882776,-0.860237869,0.671318801,-1.281414833,0.200047997,0.999736701
ZFP91,1.133860857,-2.504751337,1.958979982,-1.278599761,0.201038034,0.999736701
SUPT6H,1.620218676,2.1128118,1.655734807,1.276056884,0.201935411,0.999736701
PCNX4,1.585969552,2.232360266,1.751050827,1.274868914,0.202355644,0.999736701
ZNF688,1.733530748,-2.03330298,1.596316245,-1.27374697,0.202753105,0.999736701
TMUB2,1.106285785,-2.521259549,1.980624531,-1.272961891,0.203031565,0.999736701
CCDC186,3.321188685,1.403058505,1.102310033,1.272834741,0.203076691,0.999736701
KLF13,11.39341777,-0.783994471,0.616095945,-1.272520096,0.203188388,0.999736701
ZNF33B,2.168234026,-1.817343955,1.428185158,-1.272484835,0.203200909,0.999736701
TNFAIP2,0.786354396,-3.096371702,2.43614461,-1.271013096,0.20372399,0.999736701
SINHCAF,5.278109335,-1.198049336,0.942651539,-1.270935533,0.203751584,0.999736701
GNAI2,16.38896041,0.630783066,0.496630667,1.27012508,0.204040079,0.999736701
SDHC,3.631370934,1.339779118,1.056016806,1.268710034,0.204544502,0.999736701
TNK2,0.77374007,-3.076804544,2.426282024,-1.268114965,0.204756898,0.999736701
FKBP15,0.77374007,-3.076804544,2.426282024,-1.268114965,0.204756898,0.999736701
AP001462.1,0.77374007,-3.076804544,2.426282024,-1.268114965,0.204756898,0.999736701
LNPEP,5.629809756,-1.058020556,0.835025643,-1.267051575,0.205136849,0.999736701
TRMT112,17.84809768,-0.612393647,0.48380484,-1.265786526,0.20558952,0.999736701
GTPBP6,2.808794419,-1.528921231,1.209877361,-1.263699347,0.20633796,0.999736701
ENY2,7.284511684,0.909802042,0.72015353,1.263344556,0.20646538,0.999736701
EMC4,5.744810851,-1.028115442,0.814132683,-1.26283524,0.206648397,0.999736701
UBE2R2,3.634437611,-1.301225636,1.031403906,-1.261606271,0.207090499,0.999736701
SPATA13,1.202548764,2.588850891,2.052287895,1.261446261,0.20714811,0.999736701
ORAI2,2.82972821,1.583314623,1.255806888,1.260794663,0.207382837,0.999736701
HEATR1,1.614245727,2.078604124,1.648675043,1.26077248,0.207390831,0.999736701
BFAR,2.889144029,-1.530693068,1.21479827,-1.260038893,0.207655332,0.999736701
C19orf66,4.661876353,-1.165837708,0.925245658,-1.260030456,0.207658376,0.999736701
FCGRT,5.096579631,-1.176365805,0.934367649,-1.25899672,0.208031517,0.999736701
NRBP1,1.95326449,1.988466991,1.57955231,1.258880113,0.208073638,0.999736701
NAP1L1,19.97848966,0.5716065,0.454068157,1.258856168,0.208082288,0.999736701
ATXN10,3.239605101,-1.464306471,1.163806472,-1.25820444,0.20831783,0.999736701
PSMD2,4.43271156,-1.196743357,0.951310966,-1.257993863,0.208393976,0.999736701
MGST3,16.19101279,-0.631726542,0.502284203,-1.257707367,0.208497607,0.999736701
CD46,9.040567799,-0.820145755,0.652148497,-1.257605834,0.208534342,0.999736701
GPR82,1.107006998,2.474928647,1.970362032,1.256078125,0.209087646,0.999736701
NFKBIA,10.93132968,0.764354309,0.609320805,1.254436583,0.209683363,0.999736701
ANKRD12,27.5997923,0.531701794,0.424069228,1.253808951,0.209911455,0.999736701
NEMP2,0.702172428,-2.951773293,2.354746696,-1.253541749,0.210008615,0.999736701
SERPINB9P1,0.702172428,-2.951773293,2.354746696,-1.253541749,0.210008615,0.999736701
PAK1,0.702172428,-2.951773293,2.354746696,-1.253541749,0.210008615,0.999736701
AP002884.1,0.702172428,-2.951773293,2.354746696,-1.253541749,0.210008615,0.999736701
TFAP4,0.702172428,-2.951773293,2.354746696,-1.253541749,0.210008615,0.999736701
TMED3,1.173667781,-2.433607971,1.946440104,-1.250286596,0.211194873,0.999736701
CD8B,2.106648335,-1.873747536,1.499272456,-1.2497712,0.211383139,0.999736701
FAM50A,5.408471013,1.113277237,0.891082668,1.249353486,0.211535813,0.999736701
SAMD9,6.44185636,1.015159823,0.812575082,1.249312027,0.211550971,0.999736701
GLUD1,3.826367617,-1.282489585,1.028360373,-1.247120775,0.212353217,0.999736701
CYTOR,7.038965716,-1.025445844,0.822674145,-1.246478756,0.212588684,0.999736701
TRIM28,1.68356523,-2.00957741,1.613875543,-1.245187349,0.213062892,0.999736701
ECHS1,2.534819547,-1.580579564,1.27005348,-1.244498432,0.213316176,0.999736701
AGTPBP1,0.761125744,-3.05892373,2.458976681,-1.243982407,0.213506038,0.999736701
DENND4C,0.763979233,3.030487988,2.436521477,1.243776431,0.213581857,0.999736701
GAMT,0.763979233,3.030487988,2.436521477,1.243776431,0.213581857,0.999736701
TMEM256,4.910445929,-1.136769827,0.914436683,-1.243136729,0.213817453,0.999736701
EEF1A1,720.924754,-0.257112103,0.206910709,-1.242623472,0.214006616,0.999736701
MDM4,7.023360455,0.955549435,0.769155384,1.242336014,0.214112613,0.999736701
NUS1,1.171703835,-2.54665961,2.050946734,-1.241699537,0.214347441,0.999736701
TWF1,0.720936346,-3.042615527,2.450459809,-1.241650859,0.214365408,0.999736701
CTSS,10.3008816,-0.834541237,0.672137745,-1.241622337,0.214375936,0.999736701
SAR1A,3.767134772,1.313340739,1.058959367,1.240218256,0.214894678,0.999736701
ZBTB40,0.689558102,-2.932301621,2.366491542,-1.239092373,0.215311291,0.999736701
ZMYM3,0.689558102,-2.932301621,2.366491542,-1.239092373,0.215311291,0.999736701
SPSB2,0.689558102,-2.932301621,2.366491542,-1.239092373,0.215311291,0.999736701
TCEA1,18.57345277,0.576572654,0.465420754,1.238820249,0.215412073,0.999736701
MARK3,2.096666384,-1.768647377,1.428882733,-1.237783435,0.215796372,0.999736701
RELB,2.103190232,1.750688443,1.414642887,1.237547977,0.215883714,0.999736701
ECH1,9.178165171,-0.829494696,0.671224408,-1.235793404,0.216535367,0.999736701
GADD45GIP1,9.055644951,-0.818964071,0.663083243,-1.235084855,0.216798925,0.999736701
SQLE,2.978453969,1.460796316,1.183519687,1.234281384,0.21709807,0.999736701
SEC61B,24.45225922,-0.514508122,0.41828285,-1.23004833,0.218679007,0.999736701
FAHD2A,0.732484583,3.03824597,2.470518675,1.229800851,0.218771689,0.999736701
TSPAN4,0.732484583,3.03824597,2.470518675,1.229800851,0.218771689,0.999736701
PMCH,0.732484583,3.03824597,2.470518675,1.229800851,0.218771689,0.999736701
VMO1,0.732484583,3.03824597,2.470518675,1.229800851,0.218771689,0.999736701
GNPDA1,1.074907541,-2.433402615,1.979333569,-1.229405014,0.218919991,0.999736701
GIMAP1,12.43511906,-0.738863233,0.601470114,-1.228428837,0.219286028,0.999736701
TSPYL2,2.121921476,1.710266452,1.39364172,1.227192346,0.219750306,0.999736701
ADAL,1.218674614,2.552691938,2.081299439,1.226489514,0.220014519,0.999736701
COMMD4,1.957566542,1.782768888,1.453642329,1.226415091,0.22004251,0.999736701
PIAS1,1.643375832,-2.014811328,1.642981161,-1.226314322,0.220080414,0.999736701
COMMD6,45.18836667,-0.442980384,0.361741148,-1.224578368,0.220734122,0.999736701
ATXN7L3B,3.914385431,-1.282000375,1.047254016,-1.224154174,0.220894073,0.999736701
USB1,1.100312837,-2.529618951,2.066642852,-1.224023275,0.220943448,0.999736701
