,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AKAP9,124.3605588,-0.444822378,0.284565853,-1.563161473,0.11801462,0.999991689
CSNK2A2,32.81338962,-0.699313442,0.447624357,-1.562277455,0.118222641,0.999991689
ARHGEF28,57.38303043,-0.54648387,0.350347073,-1.559835695,0.118798714,0.999991689
PLEKHA2,13.98348284,0.993069043,0.636704269,1.559702191,0.118830274,0.999991689
ZRSR2,20.61560453,-0.854190022,0.547923765,-1.558957791,0.119006371,0.999991689
ADAP1,7.954994867,-1.547475541,0.99291348,-1.558520024,0.119110025,0.999991689
SREK1IP1,64.1699577,-0.510206205,0.327540419,-1.557689294,0.11930692,0.999991689
EIF5AL1,13.80703054,-1.132151173,0.727006837,-1.557277203,0.119404686,0.999991689
THUMPD3,22.72434172,-0.839278155,0.538954838,-1.557232806,0.119415222,0.999991689
MIA3,43.75422035,-0.599810064,0.385684956,-1.555181385,0.119902876,0.999991689
CKAP2,14.93351374,-1.003752781,0.645499991,-1.555000456,0.119945961,0.999991689
EIF3E,192.2294018,0.379038329,0.243764667,1.554935475,0.119961438,0.999991689
ATP6V0E2,19.90762506,1.004122931,0.646775188,1.552506882,0.120540987,0.999991689
ABRACL,144.9055469,-0.444236724,0.286405588,-1.551075616,0.120883564,0.999991689
ENPP6,5.701254677,-1.762289593,1.136432684,-1.550720618,0.120968651,0.999991689
ATP6V1G1,316.7100243,0.324611895,0.209963894,1.546036743,0.122095694,0.999991689
RBMS3,1.291755875,-3.264375665,2.112768497,-1.54507021,0.122329282,0.999991689
CHMP6,8.810490997,1.231023905,0.797687253,1.543241289,0.122772243,0.999991689
CLDN7,79.36928636,-0.557796546,0.361616827,-1.542507161,0.122950399,0.999991689
ZYG11B,30.34904875,0.720522562,0.46718193,1.542274039,0.123007015,0.999991689
GSPT2,4.848154757,-1.658365301,1.075924853,-1.541339338,0.12323422,0.999991689
SEPSECS-AS1,8.767363522,-1.299705732,0.843386761,-1.541055411,0.123303301,0.999991689
