,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LSP1,14.72505208,-1.164754629,0.612317594,-1.902206699,0.057144137,0.999991052
CD40,11.07921637,1.599865897,0.842894028,1.898062916,0.057687795,0.999991052
HIST1H2AK,1.497836343,-3.191680595,1.681818673,-1.897755475,0.057728301,0.999991052
FABP5,280.7436062,0.546089085,0.287997077,1.896161903,0.057938639,0.999991052
HIST1H4H,1.669818942,-3.02140926,1.595172647,-1.894095455,0.058212341,0.999991052
UBE2F,20.2740871,1.022563506,0.541195018,1.889454766,0.058830918,0.999991052
B3GNT5,10.32472642,1.318150332,0.70054476,1.881607582,0.059889316,0.999991052
HP,111.6414216,-1.454586662,0.774804317,-1.877360038,0.060468765,0.999991052
ARMH1,8.88141457,1.478283714,0.789109878,1.873355985,0.061019244,0.999991052
SLC39A8,2.840821744,2.447547885,1.307755431,1.871563924,0.061266958,0.999991052
TP53I13,18.55681395,-1.192738414,0.638189569,-1.86894063,0.061631075,0.999991052
MGST1,66.67084206,0.759160384,0.4063648,1.868174566,0.061737743,0.999991052
RAPGEF2,3.13592936,2.463591755,1.320064165,1.866266671,0.062004065,0.999991052
POLD4,25.42413772,-0.946390562,0.508495512,-1.861158143,0.062721847,0.999991052
NQO1,4.072989181,2.485473299,1.337255289,1.858637853,0.063078488,0.999991052
PSIP1,45.67946123,-0.73195788,0.394445763,-1.855661662,0.063501799,0.999991052
RAD9A,5.555713045,-2.03393807,1.096918116,-1.854229628,0.063706315,0.999991052
INAFM1,4.486386738,-1.955816227,1.054829494,-1.854153907,0.063717144,0.999991052
KCNN4,2.643132066,2.843842643,1.534320473,1.853486735,0.063812626,0.999991052
OSBPL11,37.20527049,-0.722991612,0.390189718,-1.852923279,0.063893356,0.999991052
ATG10,4.151410601,-2.007919114,1.090794662,-1.840785607,0.065652983,0.999991052
LRPAP1,171.8644403,-0.48719821,0.264709575,-1.840500894,0.065694733,0.999991052
MED9,2.636076611,-2.815266056,1.542946445,-1.824603871,0.068060829,0.999991052
MVD,2.602779815,2.542446447,1.394635162,1.823019035,0.068300508,0.999991052
CXCL3,17.3770126,2.5507551,1.403661916,1.817214723,0.069184241,0.999991052
TFRC,25.93280776,1.007307292,0.554614847,1.816228502,0.069335328,0.999991052
HIST1H2AC,6.956986597,-1.525252108,0.840571231,-1.814542363,0.069594267,0.999991052
CD9,131.3800961,0.616163877,0.341199528,1.805875526,0.070937785,0.999991052
HIST1H3B,4.758889168,-1.780366579,0.986118598,-1.805428457,0.071007661,0.999991052
UBP1,3.52487709,2.179596769,1.211766858,1.798693168,0.07206723,0.999991052
CSF3R,4.805076978,-1.786879121,0.993658466,-1.798282993,0.072132173,0.999991052
LINC01827,3.962883776,-4.271487643,2.381865272,-1.793337219,0.072919019,0.999991052
ST6GALNAC6,0.748902082,-4.500656021,2.511218668,-1.79221988,0.073097751,0.999991052
CHML,4.002309819,1.98906743,1.11118443,1.790042568,0.073447068,0.999991052
TRAC,1.395870612,-3.089995025,1.730322095,-1.785791809,0.074132973,0.999991052
LAPTM5,117.9689815,0.548759211,0.308471897,1.778960146,0.075246296,0.999991052
