,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SCRN2,1.379436554,-2.189218997,1.66524801,-1.314650421,0.188627416,0.999991052
ZNF445,1.074005649,2.82405322,2.14814396,1.314648028,0.188628221,0.999991052
SERPINB8,4.501354712,1.306931759,0.994916352,1.313609689,0.188977587,0.999991052
EFTUD2,6.638416441,1.133528769,0.863160698,1.313230285,0.189105362,0.999991052
NMI,18.44589578,0.767280758,0.584367641,1.313010345,0.189179462,0.999991052
CPVL,68.38532892,-0.458045384,0.349664555,-1.309956578,0.190210525,0.999991052
IFRD1,5.919276859,1.238949152,0.948583372,1.306104649,0.191516972,0.999991052
ARPC2,285.5390346,0.389604565,0.298570182,1.30490112,0.19192652,0.999991052
LYSMD4,2.540497089,-1.954360171,1.498492972,-1.304217109,0.192159568,0.999991052
NFKBIZ,6.415934733,1.15551965,0.886516723,1.303438074,0.192425245,0.999991052
WDR90,2.839773187,-1.822583089,1.39844628,-1.303291456,0.192475277,0.999991052
CD36,6.947406807,1.110027529,0.852413388,1.30221738,0.192842086,0.999991052
CUL5,6.017568636,1.165468557,0.895496712,1.301477204,0.193095162,0.999991052
PSEN1,5.920150697,1.151726491,0.885182732,1.301117215,0.193218336,0.999991052
TLNRD1,5.278096954,1.196097314,0.919334519,1.301046888,0.193242406,0.999991052
FUBP3,2.908297697,1.583164378,1.217291017,1.300563592,0.193407876,0.999991052
TMEM41A,1.474272101,2.209277289,1.699646482,1.299845181,0.193654037,0.999991052
SMAD2,11.00134849,0.88625705,0.682132051,1.299245576,0.193859665,0.999991052
RBM18,4.487490092,1.459947136,1.123773458,1.299147195,0.193893419,0.999991052
AC005082.1,3.023129963,1.744108587,1.34312569,1.298544582,0.194100267,0.999991052
OIP5,9.343100273,-1.05797002,0.815456166,-1.297396555,0.194494777,0.999991052
SLPI,1.970927643,-1.842777116,1.420646961,-1.297139379,0.194583234,0.999991052
SERINC2,6.864722343,1.154587252,0.890278638,1.296883024,0.194671438,0.999991052
FABP4,1022.716955,-0.343551031,0.264905827,-1.296879856,0.194672529,0.999991052
TRAPPC2L,18.44572323,0.734199447,0.567799772,1.293060482,0.195990142,0.999991052
RGS14,1.681197445,-2.007812654,1.55326779,-1.292637797,0.19613636,0.999991052
HSBP1,56.63128259,0.522694537,0.404515846,1.292148484,0.196305728,0.999991052
SEPHS2,11.52057729,0.917216384,0.709904158,1.292028471,0.196347285,0.999991052
