,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FN1,580.0314266,2.074427571,0.267860619,7.744429091,9.60E-15,2.37E-11
TMEM176B,19.4369164,7.123943331,1.261606069,5.646725637,1.64E-08,2.02E-05
GNLY,47.72248546,-9.669638572,1.783611376,-5.42138198,5.91E-08,4.86E-05
ALDH2,501.7159052,-0.893801063,0.205512668,-4.349128797,1.37E-05,0.005615246
C1QC,974.0406947,-0.952397637,0.221576634,-4.298276493,1.72E-05,0.006061483
GZMA,7.72387432,-4.049732261,0.992509631,-4.080295177,4.50E-05,NA
CALR,155.8299523,1.005070445,0.246435949,4.078424626,4.53E-05,0.013970972
PLBD1,140.1098351,-1.047161169,0.265990244,-3.936840515,8.26E-05,0.020358353
FABP4,1522.158843,-1.073768967,0.272754599,-3.936758436,8.26E-05,0.020358353
CCL5,12.82084275,-3.006733692,0.768294222,-3.913518555,9.10E-05,NA
TMEM176A,5.889459822,5.51628072,1.410636703,3.91049,9.21E-05,NA
VCAN,26.51178774,1.77244707,0.454186466,3.902465628,9.52E-05,0.021337435
FCGR3A,249.5324708,-0.83021464,0.216189836,-3.84021124,0.000122928,0.024680957
AKR1C3,38.22480304,-1.637162278,0.430302899,-3.804674057,0.000141991,0.024680957
CCL23,53.74492163,-1.615950501,0.425859541,-3.794562167,0.000147904,0.024680957
CD59,46.89846493,-1.331189699,0.351167177,-3.790757755,0.000150188,0.024680957
KLRD1,4.055471464,-5.806534405,1.567357606,-3.704664706,0.000211671,NA
C8B,25.85788476,-1.819279663,0.49291198,-3.690881407,0.000223478,0.034429629
AC013457.1,8.153899131,3.68646481,1.006203055,3.66373844,0.000248561,NA
NME4,10.72719138,-2.381870515,0.659585889,-3.611160512,0.00030483,NA
LYZ,1760.630193,-0.937620862,0.26138148,-3.587174056,0.000334281,0.045777953
JAKMIP2,11.67526356,-2.290684211,0.642154699,-3.567184379,0.000360838,NA
NEAT1,182.8661749,0.88266009,0.248123107,3.557347407,0.000374619,0.048601832
RETN,427.4028149,0.670881278,0.191262732,3.507642455,0.000452096,0.05572086
MSR1,257.3032361,1.05782168,0.305313992,3.46470096,0.000530821,0.056985537
LGALS3BP,110.6301314,-0.955393363,0.275786445,-3.464250617,0.000531711,0.056985537
CD7,4.899943025,-4.428090156,1.29546483,-3.418147722,0.000630489,NA
GZMM,3.606136079,-5.544879964,1.622458219,-3.417579509,0.000631806,NA
TYMP,115.9092923,0.914467547,0.274643506,3.3296529,0.000869543,0.08930932
NDUFA3,82.95892611,-0.956340252,0.288511569,-3.314737967,0.000917291,0.09044486
OAS1,28.11187988,-1.363450512,0.413551206,-3.296932742,0.000977469,0.092671585
CES1,115.2538867,-1.159109221,0.355369909,-3.261697718,0.001107472,0.094791662
MARCO,934.8017586,-0.609547534,0.186993445,-3.259726739,0.001115196,0.094791662
MGLL,27.56907891,-1.482903797,0.458289509,-3.23573586,0.001213296,0.097649755
CPVL,89.48434372,-0.888159918,0.274777815,-3.232283937,0.00122805,0.097649755
EPHX1,22.6154071,-1.417205034,0.439734275,-3.222866887,0.001269145,0.09776384
TYROBP,1352.733023,-0.567706444,0.177469497,-3.198895891,0.00137955,0.103040697
C15orf48,29.31610136,1.522056968,0.477088956,3.190300153,0.001421251,0.103040697
IL32,11.15496643,-2.467219696,0.775054121,-3.183286983,0.001456132,NA
RNASE1,50.64674492,6.872605196,2.165592597,3.173544832,0.001505896,0.106058134
DUSP6,18.3764947,1.826019157,0.591903062,3.084996976,0.002035542,0.1393781
GZMB,7.894746606,-5.369980958,1.762309771,-3.047126587,0.002310404,NA
ARHGAP24,7.084207579,-2.365487083,0.776847703,-3.044981755,0.002326944,NA
LDHB,189.4764183,-0.824615087,0.274550922,-3.003505077,0.002668891,0.173126742
LRRC75A,21.65828617,1.548922405,0.51994813,2.978994088,0.002891964,0.182786929
HLA-DRB5,227.5729425,-4.51144433,1.542302287,-2.925136251,NA,NA
NUCB2,33.14185018,-1.074040953,0.371327112,-2.892438815,0.003822636,0.235569962
CTSC,786.5047974,-0.513612983,0.180283985,-2.84891075,0.004386918,0.258911191
LRPAP1,212.2491934,-0.631920464,0.221949616,-2.847134744,0.004411469,0.258911191
GATD3A,2.89047789,4.301760326,1.522725007,2.825040835,0.004727459,NA
ACTB,1896.755622,0.495544518,0.176168779,2.81289637,0.004909747,0.281454109
ACOT2,39.30863928,-1.143659492,0.409986795,-2.789503237,0.005278897,0.2957382
ISOC2,29.80814406,1.129633308,0.411865341,2.742724855,0.006093172,0.333770406
CAMP,20.2822528,-2.959168042,1.082913164,-2.732599566,0.006283668,0.336722622
C1orf56,11.14784622,1.898384209,0.697820956,2.720445974,0.006519392,NA
FLNA,69.2646845,0.835557036,0.31109326,2.685873158,0.007234055,0.379403074
ITM2B,757.4139698,-0.491246561,0.183711218,-2.674015045,0.007494909,0.384603866
Sep-04,4.398898594,-2.812462513,1.052611999,-2.671889088,0.007542557,NA
