,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NAGPA,65.88632118,-0.816396342,0.326644941,-2.499338702,0.012442533,0.522306765
IGSF6,949.4842114,-0.383569289,0.153602553,-2.497154391,0.012519444,0.523574342
PSMD9,124.7533032,-0.63786267,0.255769576,-2.49389579,0.012634963,0.525498785
CD7,7.227191351,-2.350211844,0.942797658,-2.492806197,0.0126738,0.525498785
TRBC2,15.40000387,-1.805621365,0.72459573,-2.491901748,0.012706118,0.525498785
NPIPB15,2.094768721,-4.563861042,1.831873899,-2.491362011,0.012725439,NA
LMO4,241.3413515,0.506314314,0.20343232,2.488858771,0.012815386,0.527753002
RGS10,270.1904624,-0.513756652,0.206513183,-2.487766852,0.012854797,0.527753002
ACY1,5.518471078,-2.403761314,0.966866336,-2.486136112,0.012913856,0.528242706
AC058791.1,17.1751526,1.479027254,0.595643723,2.483073684,0.013025414,0.530868516
CHML,34.28741196,1.045798711,0.421638806,2.48031893,0.013126491,0.533049696
C2orf69,37.85147234,0.970503035,0.391521336,2.478799867,0.013182525,0.533392563
CXCL2,50.25683767,1.036850035,0.418870397,2.475348085,0.013310638,0.536638941
AHCYL1,130.9675689,0.586654367,0.237291263,2.472296531,0.013424811,0.539302083
CSF3R,39.50247325,-1.001703208,0.405544758,-2.470018879,0.013510592,0.540809703
VWA8,32.28792737,1.108481951,0.449653663,2.465190527,0.013694041,0.54620219
KRTCAP2,273.1835916,-0.541182056,0.220304743,-2.456515682,0.014029168,0.552084573
RNASEK,112.46888,-1.450854928,0.590766413,-2.455885939,0.014053776,0.552084573
COPS9,528.4848767,-0.427854925,0.174225413,-2.455754979,0.014058898,0.552084573
CHORDC1,57.93374792,-0.798582006,0.325269142,-2.455142227,0.014082886,0.552084573
COPB1,162.8616946,0.561823285,0.228847048,2.455016526,0.014087811,0.552084573
ACTG1,3343.499182,-0.377678891,0.154060428,-2.451498391,0.014226282,0.552164915
TPP1,199.8011896,0.574266947,0.234357369,2.450389978,0.014270157,0.552164915
ATP1B3,326.9931573,0.519409687,0.212006791,2.449967213,0.014286922,0.552164915
JAML,413.1843328,-0.505346656,0.206442565,-2.447880137,0.014369945,0.552509924
NUPR1,2230.515296,0.407448481,0.166491268,2.447266371,0.014394441,0.552509924
P2RX1,10.26121103,-1.815833159,0.742881476,-2.444310725,0.014512921,0.554171924
GZMH,3.722282019,-2.931033009,1.200081024,-2.442362599,0.014591483,0.554171924
C15orf48,213.4954421,1.351658607,0.553747941,2.440927553,0.014649593,0.554171924
PSMB10,141.4051759,-0.596342503,0.2443426,-2.440599808,0.014662894,0.554171924
TWF2,320.161066,-0.468691405,0.192163701,-2.43902153,0.014727091,0.554171924
BLM,9.541484577,2.206157754,0.906048735,2.434921732,0.014895011,0.557283045
PLEKHA2,42.1121978,0.887996269,0.364770324,2.43439833,0.01491657,0.557283045
SYNGR2,333.9125646,0.448460541,0.184366579,2.432439459,0.014997498,0.558445059
BCAT1,32.65718972,1.29962001,0.534815732,2.430033248,0.015097438,0.559641235
CLIC3,5.104928829,-3.154017787,1.298608753,-2.428766771,0.015150275,0.559641235
PTP4A1,63.58593102,0.81064909,0.333865639,2.428069846,0.01517942,0.559641235
ARF6,160.7278153,0.579460857,0.238905809,2.425478304,0.01528823,0.561804841
SLC30A7,46.44215392,0.866210555,0.35745327,2.423283341,0.015380925,0.562277319
ZFC3H1,66.9556358,-0.747995688,0.309011359,-2.420609037,0.015494532,0.562277319
GADD45B,136.0997122,-0.603206135,0.249239881,-2.42018305,0.015512696,0.562277319
FAU,4522.04757,-0.370155885,0.152947759,-2.42014585,0.015514283,0.562277319
PAX8,23.79716139,1.226131298,0.506819847,2.419264566,0.015551924,0.562277319
AP3S1,136.9616963,0.594815314,0.245996843,2.417979464,0.015606958,0.562452671
TFPI,5.258163863,3.120644792,1.291714509,2.415893582,0.015696648,0.563392687
EZR,169.268907,0.653884762,0.270939549,2.413397254,0.015804583,0.563392687
PCSK1N,28.78220616,4.350966399,1.803316558,2.41275797,NA,NA
TUFM,358.7220706,-0.464621072,0.192845847,-2.409287416,0.015983705,0.563392687
IGKC,12.31116244,-1.75595648,0.72930736,-2.407704317,0.016053177,0.563392687
CD8B,2.801517633,-3.379127707,1.403898823,-2.406959569,0.016085951,0.563392687
TYROBP,10642.41321,-0.332009937,0.137948517,-2.406766988,0.016094435,0.563392687
NEURL1,7.38538321,2.363785232,0.982603118,2.405635793,0.016144351,0.563392687
OSBPL11,294.716428,-0.498449496,0.207329656,-2.404139889,0.016210569,0.563392687
ZNF365,22.93067715,-1.364767256,0.568012969,-2.402704391,0.016274337,0.563392687
GTSF1,11.12858069,-1.700860295,0.708041473,-2.402204332,0.016296603,0.563392687
CEMIP2,16.11509063,-1.462063405,0.609172797,-2.400079929,0.016391492,0.563392687
PPDPF,1738.284913,0.465919756,0.19431312,2.397778165,0.016494851,0.563392687
SELL,7.153204671,-2.158027765,0.900245188,-2.397155567,0.016522907,0.563392687
ICAM4,13.51682263,-1.756962311,0.732949217,-2.397113292,0.016524814,0.563392687
RHEB,414.3839291,0.448266352,0.187094048,2.395941276,0.016577746,0.563392687
LINC01506,11.11585659,-1.680620754,0.701542173,-2.395609014,0.016592779,0.563392687
TSNAX,100.4307186,0.623859089,0.260513803,2.39472566,0.016632805,0.563392687
SMIM30,160.066264,0.549862444,0.229625748,2.394602737,0.016638381,0.563392687
TMEM35B,2.344502721,-3.74792594,1.565983177,-2.393337295,0.016695885,NA
SPP1,26.35171354,-3.247732755,1.358619012,-2.390466147,0.016827,0.56680177
COMT,873.8841889,-0.433362077,0.181368387,-2.389402495,0.016875803,0.56680177
TLR8,63.15932806,-0.89963057,0.376559929,-2.389076744,0.016890774,0.56680177
GLO1,125.0698851,-0.57629985,0.242280485,-2.378647417,0.017376287,0.580671992
UQCR11,1215.803394,-0.367103057,0.154392521,-2.37772565,0.017419781,0.580671992
POLR2L,677.632785,-0.444162836,0.186867624,-2.376884918,0.017459534,0.580671992
LGALS3,11556.4458,-0.343688542,0.14476661,-2.374087104,0.0175924,0.580950975
H2AFJ,319.5703634,0.454502303,0.191443163,2.374084796,0.01759251,0.580950975
CPEB4,149.9453101,0.533953669,0.225058612,2.37250938,0.017667715,0.580950975
TNFRSF21,10.73847867,1.79137883,0.755106771,2.372351698,0.017675257,0.580950975
GNLY,61.11895528,-3.726714731,1.572627806,-2.369737275,0.017800729,0.581305697
LILRA5,28.29334682,-1.14872292,0.484907331,-2.368953501,0.017838496,0.581305697
ZEB2,333.3660735,0.456314285,0.192628037,2.368888211,0.017841645,0.581305697
JUP,2.845190151,4.225061125,1.785508723,2.366306628,0.017966557,0.582089961
RPH3A,4.543791826,-2.526565878,1.067753642,-2.366244214,0.017969587,0.582089961
CRIP1,1332.361661,-1.034770704,0.438124698,-2.361817785,0.018185578,0.583782631
PGP,164.217382,-0.556342977,0.235557432,-2.36181458,0.018185735,0.583782631
EIF3F,396.9808038,-0.40955744,0.173595753,-2.359259564,0.018311443,0.583782631
C9orf16,972.0832724,0.345854597,0.146620112,2.358848258,0.01833175,0.583782631
EIF4G2,422.3414753,0.458485678,0.194370033,2.358829039,0.018332699,0.583782631
ANKRD28,70.07068826,0.69928307,0.296457697,2.358795461,0.018334358,0.583782631
CYCS,486.5978465,0.473797612,0.201177504,2.355122236,0.018516614,0.587915592
VAMP2,146.2078199,0.602154252,0.255997812,2.352185148,0.018663483,0.58976779
AC008763.3,1.927439957,-4.333253701,1.842279014,-2.352115867,0.018666959,NA
AC005921.2,19.46298139,1.241001668,0.527669895,2.351852322,0.01868019,0.58976779
CCL23,320.4660455,-1.349432134,0.574283602,-2.349766088,0.018785212,0.591174961
ZMAT3,38.02127742,1.013450336,0.431462102,2.348874514,0.018830252,0.591174961
LCK,8.090838338,-2.704041642,1.152110342,-2.347033564,0.01892355,0.592444549
GOLGA8B,9.757255137,-1.912162153,0.817462363,-2.339143965,0.019327984,0.602652597
SLC16A6,12.4524305,1.654997831,0.707845612,2.338077405,0.019383233,0.602652597
PLBD1,1123.845715,-0.406176882,0.173789129,-2.337182336,0.019429705,0.602652597
SYNE2,5.233700306,-2.553039434,1.093788033,-2.334126318,0.019589109,0.602652597
LMAN1,274.3234398,-0.442947219,0.189779512,-2.334009685,0.019595215,0.602652597
ANPEP,62.64721389,0.835379729,0.357995376,2.333493073,0.019622281,0.602652597
HCAR2,149.2675375,-0.686747819,0.294437742,-2.332404179,0.019679438,0.602652597
LACTB2,87.03108453,-0.642607665,0.27551374,-2.332397891,0.019679769,0.602652597
IFIT2,270.4372901,-0.549084096,0.235868765,-2.327922039,0.019916244,0.606320453
HLA-DPB1,8299.68834,-0.412373537,0.177165473,-2.327617956,0.019932399,0.606320453
HLA-DRA,29758.10731,-0.353162654,0.15176316,-2.327064454,0.019961835,0.606320453
UBE2W,100.0876452,0.62384346,0.26904869,2.318700971,0.020411256,0.616951337
NME2,74.22067248,-1.885794216,0.813366687,-2.318504366,0.020421926,0.616951337
FCGR2A,404.1824653,-0.429779258,0.185485267,-2.317053351,0.020500826,0.617670039
COPB2,125.9762329,-0.568436338,0.245464649,-2.315756422,0.020571572,0.618139885
MFSD14B,78.19188369,0.702233306,0.303599379,2.313026158,0.020721201,0.620971178
PSAT1,4.905248037,3.016648328,1.306769832,2.308477174,0.020972611,0.62558047
B4GALT1,96.76577423,0.69627133,0.301647979,2.308224744,0.02098664,0.62558047
TGFB1,208.1572212,-0.477878169,0.207330453,-2.304910644,0.021171578,0.628414457
