,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
GLIPR2,706.391001,-0.380157733,0.167174259,-2.27402075,0.022964739,0.27800272
C22orf39,49.55056547,-0.705558987,0.31044168,-2.272758569,0.023040733,NA
AP3S1,66.83787218,0.652968545,0.287388198,2.272078495,0.02308177,NA
MYBL1,2.198207646,-3.859207901,1.702284466,-2.267075791,0.023385596,NA
MITD1,37.84797739,-0.852550451,0.37643935,-2.264775059,0.023526487,NA
YWHAG,97.78812922,0.635956742,0.280806579,2.264750152,0.023528016,0.28086569
DPM1,23.30128083,0.996053527,0.439971571,2.26390429,0.023580002,NA
TYROBP,4855.960595,-0.333369517,0.147705154,-2.25699312,0.024008505,0.284624962
CCL2,3.776659427,-2.573757984,1.140445271,-2.256800961,0.024020515,NA
ZNF467,2.087691097,-3.99579307,1.770771735,-2.256526345,0.024037687,NA
LBH,3.628950542,-2.626776555,1.166994015,-2.250891197,0.024392429,NA
SCOC-AS1,1.270220668,-4.4225207,1.967770148,-2.247478297,0.024609476,NA
GIMAP7,24.35928754,-1.134891023,0.50498927,-2.247356705,0.02461724,NA
NAGK,125.3144409,-0.501498148,0.223381249,-2.24503243,0.024766051,0.291594803
SRSF6,39.40238003,0.861747321,0.384055792,2.24380764,0.024844781,NA
CRIM1,22.38907343,1.193508211,0.531917956,2.243782518,0.024846398,NA
TRA2B,63.14799074,0.70717899,0.315789458,2.239400249,0.025129885,NA
TADA2B,7.248802605,1.884408878,0.841610295,2.239051601,0.025152559,NA
CKS1B,54.07147911,0.695907294,0.310815585,2.238971683,0.025157759,NA
PANK3,30.58795739,0.871920948,0.389714842,2.237330615,0.02526474,NA
HAUS4,26.88934891,-0.967924859,0.432854156,-2.236145468,0.025342244,NA
CYGB,3.975785382,-2.496093025,1.117581615,-2.233477173,0.025517494,NA
SMG8,2.506103645,-2.944989402,1.318678356,-2.233288647,0.025529916,NA
TRAPPC5,15.24724352,-1.139222272,0.510906804,-2.229804463,0.025760427,NA
MRPL38,11.81907927,-1.440452583,0.646181708,-2.229175733,0.025802215,NA
HPSE,9.373656997,-1.549401774,0.695694601,-2.227129218,0.025938639,NA
RB1CC1,45.94869388,0.728654424,0.32770292,2.223521306,0.026180668,NA
SERPINA1,2145.043795,-0.32170247,0.14476627,-2.222219794,0.026268455,0.303974039
IFIT1,81.36617708,-0.808929034,0.364077858,-2.221857267,0.026292953,NA
DBF4,20.91535471,1.067149633,0.480537406,2.220742068,0.026368436,NA
POLD4,149.5138983,-0.719576778,0.324339624,-2.218590409,0.026514603,0.303974039
HLA-E,808.5767794,-0.408660942,0.184210876,-2.218440896,0.026524785,0.303974039
LILRB4,37.86727023,1.165311253,0.525459975,2.217697461,0.026575468,NA
AC105446.1,18.88822828,-1.068867472,0.482489678,-2.215316763,0.02673833,NA
NCF4,155.6818827,-0.456700701,0.206187113,-2.214981795,0.026761314,0.304653635
FH,48.21617538,-0.706752845,0.319570123,-2.211573592,0.026996142,NA
TNKS2,41.81964672,0.753010465,0.341220339,2.206815886,0.027326925,NA
PHACTR1,74.1148397,0.668208917,0.303347078,2.202786727,0.027609784,NA
ABRACL,225.1125349,-0.47456302,0.215453489,-2.202623972,0.027621263,0.310005109
HIST1H4C,95.8230347,-1.473472042,0.669434092,-2.201071113,0.02773099,0.310005109
CD163,278.4212463,0.506668424,0.230429688,2.198798373,0.027892262,0.310005109
TREM2,245.3615169,0.584561083,0.265957559,2.197948747,0.027952759,0.310005109
CSNK2A1,82.62296808,-0.604614942,0.275087942,-2.197896927,0.027956452,NA
STK40,20.80738616,1.011493383,0.460580539,2.196127054,0.028082851,NA
SNUPN,52.61497024,-0.683636661,0.311756728,-2.192852951,0.028317975,NA
DENND4C,43.37761045,0.729631394,0.332745696,2.192759823,0.028324688,NA
AC078846.1,6.353454557,-1.841100602,0.84252392,-2.185220572,0.028872678,NA
PECR,23.54452286,-0.92828767,0.425112372,-2.183628919,0.028989527,NA
KLF2,123.0918187,-0.714788677,0.32735794,-2.183507989,0.028998421,0.319501926
PAG1,89.27322972,0.628533887,0.288181434,2.181035319,0.029180804,0.319501926
AGO3,35.14163612,0.795526523,0.364898894,2.18012862,0.029247929,NA
CDC42,735.9378378,0.370123848,0.16998136,2.177437858,0.029447914,0.320385845
FLT1,10.26183921,1.553803906,0.714699818,2.174065065,0.029700249,NA
SMIM25,638.1779196,-0.513979843,0.236970132,-2.168964663,0.030085367,0.322600398
SLC15A3,70.76107351,0.609784142,0.281231441,2.16826447,0.03013857,NA
WSB1,152.582903,0.45042471,0.207830696,2.167267485,0.030214464,0.322600398
EIF4E,60.74773153,0.634617386,0.292848649,2.167049044,0.030231115,NA
TRAC,9.577113228,-1.546273954,0.714419327,-2.164378672,0.030435299,NA
GZMB,3.834439445,-2.308893407,1.067451521,-2.162996035,0.030541485,NA
ICA1L,2.632085989,3.174905959,1.469724374,2.160205012,0.030756802,NA
AC023908.3,2.291423778,-3.091039348,1.432531475,-2.157746201,0.03094757,NA
HNRNPH1,120.0996608,0.612943011,0.284164671,2.156999355,0.031005715,0.3273129
GOLIM4,106.8278755,0.532845622,0.247116901,2.156249203,0.031064211,0.3273129
CD2,10.4029997,-1.334949017,0.619354319,-2.155388244,0.031131466,NA
SIRPB1,45.79779958,-0.68125874,0.316212542,-2.154433012,0.03120623,NA
HP,143.7059817,-1.293367682,0.600402635,-2.154167231,0.03122706,0.3273129
CREBBP,23.1436722,0.953654278,0.442964984,2.152888628,0.031327432,NA
LPP,69.90789559,0.58608074,0.272319978,2.152176803,0.031383432,NA
TRMT10C,50.38906546,-0.657969419,0.30623155,-2.148601017,0.031666041,NA
CD2BP2,74.78083727,-0.562554774,0.261888084,-2.148073197,0.031707941,NA
AHCYL1,74.67361807,0.583384159,0.27160848,2.147886393,0.031722782,NA
RRAGD,65.14558823,0.603488294,0.280982274,2.147780658,0.031731184,NA
CDK11B,39.02587263,-0.74584124,0.347378294,-2.147057699,0.031788688,NA
HADHB,155.9043959,-0.460662459,0.214620761,-2.14640213,0.03184091,0.329489117
NAA38,125.9839014,-0.478897536,0.223148592,-2.14609258,0.031865593,0.329489117
CARD6,20.27547673,1.039836574,0.484697191,2.145332373,0.031926282,NA
SLC7A7,224.0824857,-0.399258185,0.186196035,-2.14428941,0.032009705,0.329489117
CTNNAL1,6.777382368,1.898603889,0.885622259,2.14380778,0.032048292,NA
C2orf69,18.83427178,1.168648239,0.545161202,2.143674632,0.032058966,NA
KLF13,55.50890295,-0.638186864,0.298244229,-2.139812952,0.032369886,NA
SIGLEC12,3.160414977,-2.991274438,1.398580661,-2.138792936,0.032452442,NA
AC022098.1,3.335690485,2.814993374,1.317339575,2.136877559,0.032607952,NA
PICALM,58.10446626,0.642064461,0.300503271,2.136630526,0.032628055,NA
GMFB,40.27073626,0.764446722,0.357791636,2.136569571,0.032633017,NA
PGAM5,6.694867475,1.884334532,0.882527644,2.135156383,0.032748238,NA
TMBIM6,788.9155974,-0.354491116,0.16614661,-2.133604268,0.032875188,0.329622314
FCHO1,26.84422159,-0.971314049,0.45546305,-2.132585836,0.032958716,NA
MSR1,827.027089,1.128701424,0.529432923,2.131906377,0.033014544,0.329622314
CXCR6,1.747087726,-3.847016831,1.80602547,-2.130101095,0.033163268,NA
S1PR4,87.23366862,0.598801398,0.281150417,2.129825748,0.033186002,NA
BTG2,62.66470675,-0.647377939,0.303974868,-2.129708761,0.033195665,NA
APLP2,393.9356635,0.366612388,0.172267674,2.128155437,0.033324198,0.329622314
