,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
POU2F2,2.734834267,-2.024540326,1.246897635,-1.623662014,0.104447962,NA
PSMB4,25.87911303,0.696718894,0.429522452,1.622077939,0.104786661,NA
CD47,82.5931028,0.490141246,0.302488745,1.620361929,0.105154553,0.40174676
RNF181,55.96193669,-0.518891532,0.320356119,-1.619733481,0.105289541,NA
PABPC1,117.8797918,-0.416089317,0.256989976,-1.61908773,0.105428388,0.40174676
LRRC58,3.286463759,1.992127141,1.230448758,1.619024871,0.105441912,NA
MPZ,0.648126522,-3.958673528,2.447280664,-1.61758052,0.10575303,NA
TIPARP-AS1,0.648126522,-3.958673528,2.447280664,-1.61758052,0.10575303,NA
CDK2,0.648126522,-3.958673528,2.447280664,-1.61758052,0.10575303,NA
NDUFA1,129.6523648,-0.511640008,0.316326961,-1.617440404,0.10578325,0.40174676
HMGXB3,9.4810711,1.09370676,0.676657932,1.616336272,0.106021629,NA
UBE2Q1,6.66215512,1.311757339,0.812327333,1.61481374,0.106351037,NA
S100A9,567.6347078,-0.400350925,0.248001821,-1.614306394,0.106460984,0.40174676
SP3,7.109546597,-1.20077145,0.744002331,-1.613935066,0.106541512,NA
CD40,53.37551804,0.633860401,0.392972015,1.612991195,0.106746421,NA
PPP1R37,1.878633878,-2.576491364,1.598072351,-1.61224951,0.106907656,NA
EEF1D,114.2699883,-0.422204929,0.262110326,-1.6107909,0.107225305,0.40174676
IL3RA,28.79255106,1.583654627,0.983410502,1.610369855,0.107317137,NA
HLA-A,604.0840587,0.343191517,0.213619417,1.606555815,0.108151842,0.402603953
ROCK1,44.85609375,0.629700306,0.392415824,1.604676131,0.108565098,NA
CD109,6.079768835,1.374008136,0.856620984,1.603986082,0.10871712,NA
ZP3,2.224842572,-2.337529007,1.458123734,-1.603107441,0.108910936,NA
A1BG,9.485717015,-1.03397389,0.645138985,-1.602714942,0.108997603,NA
MPHOSPH6,20.78665506,-0.805278286,0.503206635,-1.600293457,0.109533498,NA
TMSB10,2030.713534,0.341189189,0.213348821,1.599208219,0.109774345,0.404474285
ERAP2,8.543650092,1.202325724,0.751990287,1.598858052,0.109852147,NA
STXBP2,135.8167152,-0.452058906,0.282900996,-1.597940312,0.110056261,0.404474285
PHIP,14.77722637,0.871781425,0.545711039,1.597514735,0.110151016,NA
TNRC6A,6.156076228,1.309257863,0.819729957,1.597181916,0.110225163,NA
VWA8,3.288713235,1.98739395,1.24493245,1.596386977,0.110402422,NA
MGAT2,5.333725635,1.407030847,0.881422595,1.596318105,0.11041779,NA
C17orf49,3.555315766,-1.824348409,1.144964293,-1.593367078,0.111077867,NA
SNX6,56.10253382,0.568696495,0.357049962,1.592764474,0.111213038,NA
IQCG,2.204485019,-2.072183442,1.301478726,-1.592176192,0.111345121,NA
ACOT1,4.717297709,-1.814131145,1.14144182,-1.589332994,0.111985233,NA
AIP,17.11035215,-0.792790185,0.499212971,-1.5880801,0.112268228,NA
CHMP1B,8.034248896,1.18554456,0.747424062,1.586173928,0.11269986,NA
