,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
STAU2,6.115842313,-1.116621009,0.791152554,-1.411385205,0.158131063,NA
PDCD4,42.14560745,0.466311115,0.330861492,1.409384673,0.158721454,0.763063426
MBIP,5.54578194,-1.167986257,0.828895898,-1.409086787,0.158809507,NA
ECI2,11.10220984,-0.812705715,0.577017811,-1.408458629,0.158995309,NA
CCDC167,25.02435075,0.647501123,0.460150931,1.407149436,0.159383082,NA
GATA3,11.27286967,0.835402833,0.593772312,1.406941376,0.159444773,NA
GSE1,1.140428967,-2.901192105,2.062923113,-1.406350089,0.159620193,NA
FASLG,13.24343266,-0.765807774,0.544580559,-1.40623414,0.15965461,NA
NDUFA13,74.31604503,-0.400420703,0.285031189,-1.404831187,0.160071483,0.763063426
DENND4B,1.922865602,-2.063992393,1.469452913,-1.404599205,0.160140493,NA
ST6GALNAC4,2.256123507,-1.897433358,1.35127618,-1.404178795,0.160265615,NA
TAPBP,27.83907423,0.539083727,0.383998169,1.403870565,0.160357396,0.763063426
DLST,4.473585135,-1.312626882,0.935312439,-1.403410055,0.160494596,NA
NUP107,1.548160823,2.614889136,1.863773199,1.40300823,0.160614385,NA
ZNF507,3.455839,-1.465175906,1.044341544,-1.402966218,0.160626913,NA
ATP6V1B2,7.29498031,-0.998514565,0.711992755,-1.402422367,0.160789158,NA
CTNNB1,10.38414452,0.876546003,0.625170605,1.402090878,0.160888111,NA
YWHAE,26.14437533,0.564770277,0.40294058,1.401621742,0.161028231,0.763063426
SLC30A6,0.889798937,2.961695177,2.114475987,1.400675721,0.161311066,NA
